"Day","Sales","Trading Profit","Operating Expense","Net Profit"
11,1340881,725422,639518,85904
12,1629277,951758,676547,275211
13,1850000,1070550,717950,352600
14,2123362,1265546,757038,508508
15,2415131,1501083,793525,707558
16,2676518,1668060,832441,835619
17,2910507,1437533,1001433,436100
18,3138374,1609252,1036711,572541
19,3960637,2375011,1075974,1299037
20,4185032,2175758,1203825,971933
21,4412813,2102324,1267166,835158
22,5175943,2812942,1306996,1505946
23,5435746,3018500,1348840,1669660
24,5720068,3250905,1384655,1866250
25,6058126,3392385,1462866,1929519
26,6617457,3043477,1746574,1296903
27,7132542,3441437,1817152,1624285
28,8634099,4854170,1895488,2958682
29,8887166,5056988,1933429,3123559
30,9256314,5373928,1971406,3402522
31,9626233,4950318,2198676,2751642
32,9940279,5210123,2258698,2951425
33,13119228,7789132,2322293,5466839
34,14626616,8990594,2361211,6629383
35,16026619,10052208,2402844,7649364
36,16320459,10293878,2444055,7849823
37,16676576,10589565,2485452,8104113
38,17287296,11130956,2541274,8589682
39,17747638,10843734,2716965,8126769
40,18032888,10431139,2901419,7529720
41,19024513,11365530,2949777,8415753
42,19570142,11817276,2999160,8818116
43,20065589,11946318,3125909,8820409
44,22327458,13931164,3203007,10728157
45,24191062,15513141,3248105,12265036
46,24501557,15762612,3319798,12442814
47,24799160,15985668,3381682,12603986
48,25166988,16284675,3422980,12861695
49,25467038,15940380,3481745,12458635
50,25867052,15846623,3545308,12301315
51,26926707,16573551,3621528,12952023
52,28287630,17781114,3665620,14115494
53,29271594,18574306,3713783,14860523
54,30144633,19104906,3768969,15335937
55,30531247,19430617,3819537,15611080
56,31528776,20368605,3879460,16489145
57,31902378,20681967,3924503,16757464
58,32253720,20696952,4061793,16635159
59,32590412,20698271,4193022,16505249
60,33357271,21409058,4245612,17163446
61,34111369,21603832,4489915,17113917
62,34544537,21969941,4562036,17407905
63,35468154,22729772,4611127,18118645
64,35792704,22962341,4671442,18290899
65,37458448,23490619,4927620,18562999
66,38129757,24100943,4979824,19121119
67,39508377,25418295,5025865,20392430
68,40015075,25864150,5072106,20792044
69,40401580,26184197,5126263,21057934
70,42125059,27610534,5169007,22441527
71,43801976,28990584,5209955,23780629
72,45620867,29726778,5309110,24417668
73,45980323,30016356,5369900,24646456
74,46385948,30347761,5408327,24939434
75,46954178,30834191,5466784,25367407
76,47377397,31148393,5507211,25641182
77,48780602,32473608,5552264,26921344
78,49380171,33011283,5591955,27419328
79,49841312,32775636,5818940,26956696
80,50298967,33090851,5866422,27224429
81,51560020,34243066,5917910,28325156
82,51976309,34587722,5966699,28621023
83,52479957,35020949,6019510,29001439
84,54128532,36398810,6072545,30326265
85,55960594,37716717,6115500,31601217
86,56473334,37772078,6172130,31599948
87,57290666,38517215,6248044,32269171
88,58168147,39275561,6301974,32973587
89,58590725,39627101,6342988,33284113
90,59019894,39983164,6384545,33598619